Combination,Annualized Return,Benchmark Relative,Standard Deviation,Maximum Drawdown
"MSTY:10%, JEPQ:30%, SCHD:50%, SCHY:10%",21.5,4.2,13.0,6.3
"MSTY:10%, JEPQ:30%, SCHD:55%, SCHY:5%",20.9,3.6,13.3,6.7
"MSTY:10%, JEPQ:30%, SCHD:60%, SCHY:0%",20.3,2.9,13.6,7.1
"MSTY:10%, JEPQ:35%, SCHD:0%, SCHY:55%",27.4,10.1,12.2,4.6
"MSTY:10%, JEPQ:35%, SCHD:5%, SCHY:50%",26.8,9.4,12.1,4.7
"MSTY:10%, JEPQ:35%, SCHD:10%, SCHY:45%",26.1,8.8,12.1,4.8
"MSTY:10%, JEPQ:35%, SCHD:15%, SCHY:40%",25.5,8.2,12.1,4.9
"MSTY:10%, JEPQ:35%, SCHD:20%, SCHY:35%",24.9,7.6,12.1,5.1
"MSTY:10%, JEPQ:35%, SCHD:25%, SCHY:30%",24.3,6.9,12.2,5.2
"MSTY:10%, JEPQ:35%, SCHD:30%, SCHY:25%",23.6,6.3,12.3,5.3
"MSTY:10%, JEPQ:35%, SCHD:35%, SCHY:20%",23.0,5.7,12.5,5.7
"MSTY:10%, JEPQ:35%, SCHD:40%, SCHY:15%",22.4,5.0,12.7,6.1
"MSTY:10%, JEPQ:35%, SCHD:45%, SCHY:10%",21.7,4.4,13.0,6.5
"MSTY:10%, JEPQ:35%, SCHD:50%, SCHY:5%",21.1,3.8,13.2,6.8
"MSTY:10%, JEPQ:35%, SCHD:55%, SCHY:0%",20.5,3.1,13.5,7.2
"MSTY:10%, JEPQ:40%, SCHD:0%, SCHY:50%",27.0,9.6,12.2,4.4
"MSTY:10%, JEPQ:40%, SCHD:5%, SCHY:45%",26.3,9.0,12.1,4.5
"MSTY:10%, JEPQ:40%, SCHD:10%, SCHY:40%",25.7,8.4,12.1,4.6
"MSTY:10%, JEPQ:40%, SCHD:15%, SCHY:35%",25.1,7.8,12.2,4.7
"MSTY:10%, JEPQ:40%, SCHD:20%, SCHY:30%",24.5,7.1,12.2,5.1
"MSTY:10%, JEPQ:40%, SCHD:25%, SCHY:25%",23.8,6.5,12.3,5.5
"MSTY:10%, JEPQ:40%, SCHD:30%, SCHY:20%",23.2,5.9,12.5,5.9
"MSTY:10%, JEPQ:40%, SCHD:35%, SCHY:15%",22.6,5.2,12.7,6.2
"MSTY:10%, JEPQ:40%, SCHD:40%, SCHY:10%",21.9,4.6,12.9,6.6
"MSTY:10%, JEPQ:40%, SCHD:45%, SCHY:5%",21.3,4.0,13.2,7.0
"MSTY:10%, JEPQ:40%, SCHD:50%, SCHY:0%",20.7,3.3,13.5,7.4
"MSTY:10%, JEPQ:45%, SCHD:0%, SCHY:45%",26.5,9.2,12.2,4.2
"MSTY:10%, JEPQ:45%, SCHD:5%, SCHY:40%",25.9,8.6,12.2,4.4
"MSTY:10%, JEPQ:45%, SCHD:10%, SCHY:35%",25.3,8.0,12.2,4.8
"MSTY:10%, JEPQ:45%, SCHD:15%, SCHY:30%",24.7,7.3,12.3,5.2
"MSTY:10%, JEPQ:45%, SCHD:20%, SCHY:25%",24.0,6.7,12.4,5.6
"MSTY:10%, JEPQ:45%, SCHD:25%, SCHY:20%",23.4,6.1,12.6,6.0
"MSTY:10%, JEPQ:45%, SCHD:30%, SCHY:15%",22.8,5.4,12.7,6.4
"MSTY:10%, JEPQ:45%, SCHD:35%, SCHY:10%",22.1,4.8,13.0,6.8
"MSTY:10%, JEPQ:45%, SCHD:40%, SCHY:5%",21.5,4.2,13.2,7.2
"MSTY:10%, JEPQ:45%, SCHD:45%, SCHY:0%",20.9,3.5,13.5,7.5
"MSTY:10%, JEPQ:50%, SCHD:0%, SCHY:40%",26.1,8.8,12.4,4.6
"MSTY:10%, JEPQ:50%, SCHD:5%, SCHY:35%",25.5,8.2,12.4,5.0
"MSTY:10%, JEPQ:50%, SCHD:10%, SCHY:30%",24.9,7.5,12.4,5.4
"MSTY:10%, JEPQ:50%, SCHD:15%, SCHY:25%",24.2,6.9,12.5,5.8
"MSTY:10%, JEPQ:50%, SCHD:20%, SCHY:20%",23.6,6.3,12.6,6.2
"MSTY:10%, JEPQ:50%, SCHD:25%, SCHY:15%",23.0,5.6,12.8,6.6
"MSTY:10%, JEPQ:50%, SCHD:30%, SCHY:10%",22.3,5.0,13.0,6.9
"MSTY:10%, JEPQ:50%, SCHD:35%, SCHY:5%",21.7,4.4,13.3,7.3
"MSTY:10%, JEPQ:50%, SCHD:40%, SCHY:0%",21.1,3.7,13.6,7.7
"MSTY:10%, JEPQ:55%, SCHD:0%, SCHY:35%",25.7,8.4,12.5,5.2
"MSTY:10%, JEPQ:55%, SCHD:5%, SCHY:30%",25.1,7.7,12.6,5.6
"MSTY:10%, JEPQ:55%, SCHD:10%, SCHY:25%",24.4,7.1,12.7,5.9
"MSTY:10%, JEPQ:55%, SCHD:15%, SCHY:20%",23.8,6.5,12.8,6.3
"MSTY:10%, JEPQ:55%, SCHD:20%, SCHY:15%",23.2,5.8,12.9,6.7
"MSTY:10%, JEPQ:55%, SCHD:25%, SCHY:10%",22.5,5.2,13.2,7.1
"MSTY:10%, JEPQ:55%, SCHD:30%, SCHY:5%",21.9,4.6,13.4,7.5
"MSTY:10%, JEPQ:55%, SCHD:35%, SCHY:0%",21.3,3.9,13.7,7.8
"MSTY:10%, JEPQ:60%, SCHD:0%, SCHY:30%",25.3,7.9,12.8,5.7
"MSTY:10%, JEPQ:60%, SCHD:5%, SCHY:25%",24.6,7.3,12.9,6.1
"MSTY:10%, JEPQ:60%, SCHD:10%, SCHY:20%",24.0,6.7,13.0,6.5
"MSTY:10%, JEPQ:60%, SCHD:15%, SCHY:15%",23.4,6.0,13.1,6.9
"MSTY:10%, JEPQ:60%, SCHD:20%, SCHY:10%",22.7,5.4,13.3,7.2
"MSTY:10%, JEPQ:60%, SCHD:25%, SCHY:5%",22.1,4.8,13.5,7.6
"MSTY:10%, JEPQ:60%, SCHD:30%, SCHY:0%",21.5,4.1,13.8,8.0
"MSTY:10%, JEPQ:65%, SCHD:0%, SCHY:25%",24.8,7.5,13.1,6.4
"MSTY:10%, JEPQ:65%, SCHD:5%, SCHY:20%",24.2,6.9,13.2,6.6
"MSTY:10%, JEPQ:65%, SCHD:10%, SCHY:15%",23.6,6.2,13.3,7.0
"MSTY:10%, JEPQ:65%, SCHD:15%, SCHY:10%",22.9,5.6,13.5,7.4
"MSTY:10%, JEPQ:65%, SCHD:20%, SCHY:5%",22.3,5.0,13.7,7.8
"MSTY:10%, JEPQ:65%, SCHD:25%, SCHY:0%",21.7,4.3,14.0,8.1
"MSTY:10%, JEPQ:70%, SCHD:0%, SCHY:20%",24.4,7.1,13.4,7.0
"MSTY:10%, JEPQ:70%, SCHD:5%, SCHY:15%",23.8,6.4,13.6,7.3
"MSTY:10%, JEPQ:70%, SCHD:10%, SCHY:10%",23.1,5.8,13.7,7.6
"MSTY:10%, JEPQ:70%, SCHD:15%, SCHY:5%",22.5,5.2,13.9,7.9
"MSTY:10%, JEPQ:70%, SCHD:20%, SCHY:0%",21.9,4.5,14.2,8.3
"MSTY:10%, JEPQ:75%, SCHD:0%, SCHY:15%",24.0,6.6,13.9,7.7
"MSTY:10%, JEPQ:75%, SCHD:5%, SCHY:10%",23.3,6.0,14.0,7.9
"MSTY:10%, JEPQ:75%, SCHD:10%, SCHY:5%",22.7,5.4,14.2,8.1
"MSTY:10%, JEPQ:75%, SCHD:15%, SCHY:0%",22.1,4.7,14.4,8.5
"MSTY:10%, JEPQ:80%, SCHD:0%, SCHY:10%",23.5,6.2,14.3,8.4
"MSTY:10%, JEPQ:80%, SCHD:5%, SCHY:5%",22.9,5.6,14.5,8.6
"MSTY:10%, JEPQ:80%, SCHD:10%, SCHY:0%",22.3,5.0,14.7,8.8
"MSTY:10%, JEPQ:85%, SCHD:0%, SCHY:5%",23.1,5.8,14.8,9.0
"MSTY:10%, JEPQ:85%, SCHD:5%, SCHY:0%",22.5,5.2,15.0,9.3
"MSTY:10%, JEPQ:90%, SCHD:0%, SCHY:0%",22.7,5.4,15.4,9.7
"MSTY:15%, JEPQ:0%, SCHD:0%, SCHY:85%",36.5,19.2,17.1,7.0
"MSTY:15%, JEPQ:0%, SCHD:5%, SCHY:80%",35.9,18.5,16.9,7.1
"MSTY:15%, JEPQ:0%, SCHD:10%, SCHY:75%",35.2,17.9,16.7,7.2
"MSTY:15%, JEPQ:0%, SCHD:15%, SCHY:70%",34.6,17.3,16.6,7.3
"MSTY:15%, JEPQ:0%, SCHD:20%, SCHY:65%",34.0,16.7,16.4,7.4
"MSTY:15%, JEPQ:0%, SCHD:25%, SCHY:60%",33.4,16.0,16.3,7.5
"MSTY:15%, JEPQ:0%, SCHD:30%, SCHY:55%",32.7,15.4,16.2,7.6
"MSTY:15%, JEPQ:0%, SCHD:35%, SCHY:50%",32.1,14.8,16.2,7.7
"MSTY:15%, JEPQ:0%, SCHD:40%, SCHY:45%",31.5,14.1,16.2,7.8
"MSTY:15%, JEPQ:0%, SCHD:45%, SCHY:40%",30.9,13.5,16.2,7.9
"MSTY:15%, JEPQ:0%, SCHD:50%, SCHY:35%",30.2,12.9,16.3,8.0
"MSTY:15%, JEPQ:0%, SCHD:55%, SCHY:30%",29.6,12.3,16.3,8.1
"MSTY:15%, JEPQ:0%, SCHD:60%, SCHY:25%",29.0,11.6,16.4,8.2
"MSTY:15%, JEPQ:0%, SCHD:65%, SCHY:20%",28.3,11.0,16.6,8.3
"MSTY:15%, JEPQ:0%, SCHD:70%, SCHY:15%",27.7,10.4,16.7,8.4
"MSTY:15%, JEPQ:0%, SCHD:75%, SCHY:10%",27.1,9.8,16.9,8.5
"MSTY:15%, JEPQ:0%, SCHD:80%, SCHY:5%",26.5,9.1,17.2,8.6
"MSTY:15%, JEPQ:0%, SCHD:85%, SCHY:0%",25.8,8.5,17.4,8.7
"MSTY:15%, JEPQ:5%, SCHD:0%, SCHY:80%",36.1,18.7,16.8,6.8
"MSTY:15%, JEPQ:5%, SCHD:5%, SCHY:75%",35.4,18.1,16.6,6.9
"MSTY:15%, JEPQ:5%, SCHD:10%, SCHY:70%",34.8,17.5,16.4,7.0
"MSTY:15%, JEPQ:5%, SCHD:15%, SCHY:65%",34.2,16.9,16.3,7.1
"MSTY:15%, JEPQ:5%, SCHD:20%, SCHY:60%",33.6,16.2,16.2,7.2
"MSTY:15%, JEPQ:5%, SCHD:25%, SCHY:55%",32.9,15.6,16.1,7.3
"MSTY:15%, JEPQ:5%, SCHD:30%, SCHY:50%",32.3,15.0,16.0,7.4
"MSTY:15%, JEPQ:5%, SCHD:35%, SCHY:45%",31.7,14.3,16.0,7.5
"MSTY:15%, JEPQ:5%, SCHD:40%, SCHY:40%",31.1,13.7,16.0,7.6
"MSTY:15%, JEPQ:5%, SCHD:45%, SCHY:35%",30.4,13.1,16.1,7.7
"MSTY:15%, JEPQ:5%, SCHD:50%, SCHY:30%",29.8,12.5,16.1,7.8
"MSTY:15%, JEPQ:5%, SCHD:55%, SCHY:25%",29.2,11.8,16.3,7.9
"MSTY:15%, JEPQ:5%, SCHD:60%, SCHY:20%",28.5,11.2,16.4,8.0
"MSTY:15%, JEPQ:5%, SCHD:65%, SCHY:15%",27.9,10.6,16.6,8.1
"MSTY:15%, JEPQ:5%, SCHD:70%, SCHY:10%",27.3,10.0,16.7,8.2
"MSTY:15%, JEPQ:5%, SCHD:75%, SCHY:5%",26.7,9.3,17.0,8.3
"MSTY:15%, JEPQ:5%, SCHD:80%, SCHY:0%",26.0,8.7,17.2,8.4
"MSTY:15%, JEPQ:10%, SCHD:0%, SCHY:75%",35.6,18.3,16.5,6.6
"MSTY:15%, JEPQ:10%, SCHD:5%, SCHY:70%",35.0,17.7,16.3,6.7
"MSTY:15%, JEPQ:10%, SCHD:10%, SCHY:65%",34.4,17.1,16.2,6.8
"MSTY:15%, JEPQ:10%, SCHD:15%, SCHY:60%",33.8,16.4,16.0,6.9
"MSTY:15%, JEPQ:10%, SCHD:20%, SCHY:55%",33.1,15.8,16.0,7.0
"MSTY:15%, JEPQ:10%, SCHD:25%, SCHY:50%",32.5,15.2,15.9,7.1
"MSTY:15%, JEPQ:10%, SCHD:30%, SCHY:45%",31.9,14.5,15.9,7.2
"MSTY:15%, JEPQ:10%, SCHD:35%, SCHY:40%",31.3,13.9,15.9,7.3
"MSTY:15%, JEPQ:10%, SCHD:40%, SCHY:35%",30.6,13.3,15.9,7.4
"MSTY:15%, JEPQ:10%, SCHD:45%, SCHY:30%",30.0,12.7,16.0,7.5
"MSTY:15%, JEPQ:10%, SCHD:50%, SCHY:25%",29.4,12.0,16.1,7.6
"MSTY:15%, JEPQ:10%, SCHD:55%, SCHY:20%",28.7,11.4,16.2,7.7
"MSTY:15%, JEPQ:10%, SCHD:60%, SCHY:15%",28.1,10.8,16.4,7.8
"MSTY:15%, JEPQ:10%, SCHD:65%, SCHY:10%",27.5,10.2,16.6,7.9
"MSTY:15%, JEPQ:10%, SCHD:70%, SCHY:5%",26.9,9.5,16.8,8.0
"MSTY:15%, JEPQ:10%, SCHD:75%, SCHY:0%",26.2,8.9,17.0,8.1
"MSTY:15%, JEPQ:15%, SCHD:0%, SCHY:70%",35.2,17.9,16.2,6.4
"MSTY:15%, JEPQ:15%, SCHD:5%, SCHY:65%",34.6,17.3,16.1,6.5
"MSTY:15%, JEPQ:15%, SCHD:10%, SCHY:60%",34.0,16.6,16.0,6.6
"MSTY:15%, JEPQ:15%, SCHD:15%, SCHY:55%",33.3,16.0,15.9,6.7
"MSTY:15%, JEPQ:15%, SCHD:20%, SCHY:50%",32.7,15.4,15.8,6.8
"MSTY:15%, JEPQ:15%, SCHD:25%, SCHY:45%",32.1,14.7,15.8,6.9
"MSTY:15%, JEPQ:15%, SCHD:30%, SCHY:40%",31.5,14.1,15.8,7.0
"MSTY:15%, JEPQ:15%, SCHD:35%, SCHY:35%",30.8,13.5,15.8,7.1
"MSTY:15%, JEPQ:15%, SCHD:40%, SCHY:30%",30.2,12.9,15.9,7.2
"MSTY:15%, JEPQ:15%, SCHD:45%, SCHY:25%",29.6,12.2,16.0,7.3
"MSTY:15%, JEPQ:15%, SCHD:50%, SCHY:20%",28.9,11.6,16.1,7.4
"MSTY:15%, JEPQ:15%, SCHD:55%, SCHY:15%",28.3,11.0,16.3,7.5
"MSTY:15%, JEPQ:15%, SCHD:60%, SCHY:10%",27.7,10.4,16.4,7.6
"MSTY:15%, JEPQ:15%, SCHD:65%, SCHY:5%",27.1,9.7,16.7,7.7
"MSTY:15%, JEPQ:15%, SCHD:70%, SCHY:0%",26.4,9.1,16.9,7.8
"MSTY:15%, JEPQ:20%, SCHD:0%, SCHY:65%",34.8,17.5,16.0,6.1
"MSTY:15%, JEPQ:20%, SCHD:5%, SCHY:60%",34.2,16.8,15.9,6.3
"MSTY:15%, JEPQ:20%, SCHD:10%, SCHY:55%",33.5,16.2,15.8,6.4
"MSTY:15%, JEPQ:20%, SCHD:15%, SCHY:50%",32.9,15.6,15.8,6.5
"MSTY:15%, JEPQ:20%, SCHD:20%, SCHY:45%",32.3,14.9,15.7,6.6
"MSTY:15%, JEPQ:20%, SCHD:25%, SCHY:40%",31.7,14.3,15.7,6.7
"MSTY:15%, JEPQ:20%, SCHD:30%, SCHY:35%",31.0,13.7,15.7,6.8
"MSTY:15%, JEPQ:20%, SCHD:35%, SCHY:30%",30.4,13.1,15.8,6.9
"MSTY:15%, JEPQ:20%, SCHD:40%, SCHY:25%",29.8,12.4,15.9,7.0
"MSTY:15%, JEPQ:20%, SCHD:45%, SCHY:20%",29.1,11.8,16.0,7.2
"MSTY:15%, JEPQ:20%, SCHD:50%, SCHY:15%",28.5,11.2,16.2,7.3
"MSTY:15%, JEPQ:20%, SCHD:55%, SCHY:10%",27.9,10.6,16.3,7.4
"MSTY:15%, JEPQ:20%, SCHD:60%, SCHY:5%",27.3,9.9,16.6,7.5
"MSTY:15%, JEPQ:20%, SCHD:65%, SCHY:0%",26.6,9.3,16.8,7.8
"MSTY:15%, JEPQ:25%, SCHD:0%, SCHY:60%",34.4,17.0,15.9,6.0
"MSTY:15%, JEPQ:25%, SCHD:5%, SCHY:55%",33.7,16.4,15.8,6.2
"MSTY:15%, JEPQ:25%, SCHD:10%, SCHY:50%",33.1,15.8,15.7,6.3
"MSTY:15%, JEPQ:25%, SCHD:15%, SCHY:45%",32.5,15.1,15.7,6.4
"MSTY:15%, JEPQ:25%, SCHD:20%, SCHY:40%",31.9,14.5,15.7,6.5
"MSTY:15%, JEPQ:25%, SCHD:25%, SCHY:35%",31.2,13.9,15.7,6.7
"MSTY:15%, JEPQ:25%, SCHD:30%, SCHY:30%",30.6,13.3,15.8,6.8
"MSTY:15%, JEPQ:25%, SCHD:35%, SCHY:25%",30.0,12.6,15.8,6.9
"MSTY:15%, JEPQ:25%, SCHD:40%, SCHY:20%",29.3,12.0,16.0,7.0
"MSTY:15%, JEPQ:25%, SCHD:45%, SCHY:15%",28.7,11.4,16.1,7.2
"MSTY:15%, JEPQ:25%, SCHD:50%, SCHY:10%",28.1,10.8,16.3,7.3
"MSTY:15%, JEPQ:25%, SCHD:55%, SCHY:5%",27.5,10.1,16.5,7.6
"MSTY:15%, JEPQ:25%, SCHD:60%, SCHY:0%",26.8,9.5,16.7,8.0
"MSTY:15%, JEPQ:30%, SCHD:0%, SCHY:55%",33.9,16.6,15.8,6.0
"MSTY:15%, JEPQ:30%, SCHD:5%, SCHY:50%",33.3,16.0,15.8,6.2
"MSTY:15%, JEPQ:30%, SCHD:10%, SCHY:45%",32.7,15.3,15.7,6.3
"MSTY:15%, JEPQ:30%, SCHD:15%, SCHY:40%",32.1,14.7,15.7,6.4
"MSTY:15%, JEPQ:30%, SCHD:20%, SCHY:35%",31.4,14.1,15.7,6.5
"MSTY:15%, JEPQ:30%, SCHD:25%, SCHY:30%",30.8,13.5,15.8,6.7
"MSTY:15%, JEPQ:30%, SCHD:30%, SCHY:25%",30.2,12.8,15.8,6.8
"MSTY:15%, JEPQ:30%, SCHD:35%, SCHY:20%",29.5,12.2,15.9,6.9
"MSTY:15%, JEPQ:30%, SCHD:40%, SCHY:15%",28.9,11.6,16.1,7.0
"MSTY:15%, JEPQ:30%, SCHD:45%, SCHY:10%",28.3,11.0,16.3,7.4
"MSTY:15%, JEPQ:30%, SCHD:50%, SCHY:5%",27.7,10.3,16.4,7.8
"MSTY:15%, JEPQ:30%, SCHD:55%, SCHY:0%",27.0,9.7,16.7,8.1
"MSTY:15%, JEPQ:35%, SCHD:0%, SCHY:50%",33.5,16.2,15.8,6.0
"MSTY:15%, JEPQ:35%, SCHD:5%, SCHY:45%",32.9,15.5,15.8,6.2
"MSTY:15%, JEPQ:35%, SCHD:10%, SCHY:40%",32.3,14.9,15.7,6.3
"MSTY:15%, JEPQ:35%, SCHD:15%, SCHY:35%",31.6,14.3,15.7,6.4
"MSTY:15%, JEPQ:35%, SCHD:20%, SCHY:30%",31.0,13.7,15.8,6.5
"MSTY:15%, JEPQ:35%, SCHD:25%, SCHY:25%",30.4,13.0,15.9,6.7
"MSTY:15%, JEPQ:35%, SCHD:30%, SCHY:20%",29.7,12.4,16.0,6.8
"MSTY:15%, JEPQ:35%, SCHD:35%, SCHY:15%",29.1,11.8,16.1,7.2
"MSTY:15%, JEPQ:35%, SCHD:40%, SCHY:10%",28.5,11.2,16.3,7.6
"MSTY:15%, JEPQ:35%, SCHD:45%, SCHY:5%",27.9,10.5,16.4,7.9
"MSTY:15%, JEPQ:35%, SCHD:50%, SCHY:0%",27.2,9.9,16.7,8.3
"MSTY:15%, JEPQ:40%, SCHD:0%, SCHY:45%",33.1,15.7,15.8,6.0
"MSTY:15%, JEPQ:40%, SCHD:5%, SCHY:40%",32.4,15.1,15.8,6.1
"MSTY:15%, JEPQ:40%, SCHD:10%, SCHY:35%",31.8,14.5,15.8,6.3
"MSTY:15%, JEPQ:40%, SCHD:15%, SCHY:30%",31.2,13.9,15.8,6.4
"MSTY:15%, JEPQ:40%, SCHD:20%, SCHY:25%",30.6,13.2,15.9,6.6
"MSTY:15%, JEPQ:40%, SCHD:25%, SCHY:20%",29.9,12.6,16.0,7.0
"MSTY:15%, JEPQ:40%, SCHD:30%, SCHY:15%",29.3,12.0,16.1,7.3
"MSTY:15%, JEPQ:40%, SCHD:35%, SCHY:10%",28.7,11.4,16.3,7.7
"MSTY:15%, JEPQ:40%, SCHD:40%, SCHY:5%",28.1,10.7,16.5,8.1
"MSTY:15%, JEPQ:40%, SCHD:45%, SCHY:0%",27.4,10.1,16.7,8.4
"MSTY:15%, JEPQ:45%, SCHD:0%, SCHY:40%",32.6,15.3,15.9,6.0
"MSTY:15%, JEPQ:45%, SCHD:5%, SCHY:35%",32.0,14.7,15.9,6.1
"MSTY:15%, JEPQ:45%, SCHD:10%, SCHY:30%",31.4,14.1,15.9,6.4
"MSTY:15%, JEPQ:45%, SCHD:15%, SCHY:25%",30.8,13.4,16.0,6.8
"MSTY:15%, JEPQ:45%, SCHD:20%, SCHY:20%",30.1,12.8,16.1,7.1
"MSTY:15%, JEPQ:45%, SCHD:25%, SCHY:15%",29.5,12.2,16.2,7.5
"MSTY:15%, JEPQ:45%, SCHD:30%, SCHY:10%",28.9,11.6,16.4,7.9
"MSTY:15%, JEPQ:45%, SCHD:35%, SCHY:5%",28.3,10.9,16.5,8.2
"MSTY:15%, JEPQ:45%, SCHD:40%, SCHY:0%",27.6,10.3,16.8,8.6
"MSTY:15%, JEPQ:50%, SCHD:0%, SCHY:35%",32.2,14.9,16.1,6.2
"MSTY:15%, JEPQ:50%, SCHD:5%, SCHY:30%",31.6,14.3,16.1,6.6
"MSTY:15%, JEPQ:50%, SCHD:10%, SCHY:25%",31.0,13.6,16.1,6.9
"MSTY:15%, JEPQ:50%, SCHD:15%, SCHY:20%",30.3,13.0,16.2,7.3
"MSTY:15%, JEPQ:50%, SCHD:20%, SCHY:15%",29.7,12.4,16.3,7.6
"MSTY:15%, JEPQ:50%, SCHD:25%, SCHY:10%",29.1,11.8,16.5,8.0
"MSTY:15%, JEPQ:50%, SCHD:30%, SCHY:5%",28.5,11.1,16.6,8.4
"MSTY:15%, JEPQ:50%, SCHD:35%, SCHY:0%",27.8,10.5,16.8,8.7
"MSTY:15%, JEPQ:55%, SCHD:0%, SCHY:30%",31.8,14.5,16.3,6.7
"MSTY:15%, JEPQ:55%, SCHD:5%, SCHY:25%",31.2,13.8,16.3,7.1
"MSTY:15%, JEPQ:55%, SCHD:10%, SCHY:20%",30.5,13.2,16.4,7.4
"MSTY:15%, JEPQ:55%, SCHD:15%, SCHY:15%",29.9,12.6,16.5,7.8
"MSTY:15%, JEPQ:55%, SCHD:20%, SCHY:10%",29.3,12.0,16.6,8.2
"MSTY:15%, JEPQ:55%, SCHD:25%, SCHY:5%",28.7,11.3,16.8,8.5
"MSTY:15%, JEPQ:55%, SCHD:30%, SCHY:0%",28.0,10.7,17.0,8.9
"MSTY:15%, JEPQ:60%, SCHD:0%, SCHY:25%",31.4,14.0,16.5,7.2
"MSTY:15%, JEPQ:60%, SCHD:5%, SCHY:20%",30.7,13.4,16.6,7.6
"MSTY:15%, JEPQ:60%, SCHD:10%, SCHY:15%",30.1,12.8,16.7,7.9
"MSTY:15%, JEPQ:60%, SCHD:15%, SCHY:10%",29.5,12.2,16.8,8.3
"MSTY:15%, JEPQ:60%, SCHD:20%, SCHY:5%",28.9,11.5,16.9,8.7
"MSTY:15%, JEPQ:60%, SCHD:25%, SCHY:0%",28.2,10.9,17.1,9.0
"MSTY:15%, JEPQ:65%, SCHD:0%, SCHY:20%",30.9,13.6,16.8,7.7
"MSTY:15%, JEPQ:65%, SCHD:5%, SCHY:15%",30.3,13.0,16.9,8.1
"MSTY:15%, JEPQ:65%, SCHD:10%, SCHY:10%",29.7,12.4,17.0,8.5
"MSTY:15%, JEPQ:65%, SCHD:15%, SCHY:5%",29.1,11.7,17.1,8.8
"MSTY:15%, JEPQ:65%, SCHD:20%, SCHY:0%",28.4,11.1,17.3,9.2
"MSTY:15%, JEPQ:70%, SCHD:0%, SCHY:15%",30.5,13.2,17.1,8.2
"MSTY:15%, JEPQ:70%, SCHD:5%, SCHY:10%",29.9,12.6,17.2,8.6
"MSTY:15%, JEPQ:70%, SCHD:10%, SCHY:5%",29.3,11.9,17.3,9.0
"MSTY:15%, JEPQ:70%, SCHD:15%, SCHY:0%",28.6,11.3,17.5,9.3
"MSTY:15%, JEPQ:75%, SCHD:0%, SCHY:10%",30.1,12.8,17.5,8.8
"MSTY:15%, JEPQ:75%, SCHD:5%, SCHY:5%",29.5,12.1,17.6,9.1
"MSTY:15%, JEPQ:75%, SCHD:10%, SCHY:0%",28.8,11.5,17.8,9.5
"MSTY:15%, JEPQ:80%, SCHD:0%, SCHY:5%",29.7,12.3,17.9,9.3
"MSTY:15%, JEPQ:80%, SCHD:5%, SCHY:0%",29.0,11.7,18.0,9.6
"MSTY:15%, JEPQ:85%, SCHD:0%, SCHY:0%",29.2,11.9,18.3,9.9
"MSTY:20%, JEPQ:0%, SCHD:0%, SCHY:80%",42.6,25.2,20.2,7.9
"MSTY:20%, JEPQ:0%, SCHD:5%, SCHY:75%",41.9,24.6,20.0,8.0
"MSTY:20%, JEPQ:0%, SCHD:10%, SCHY:70%",41.3,24.0,19.9,8.2
"MSTY:20%, JEPQ:0%, SCHD:15%, SCHY:65%",40.7,23.4,19.8,8.3
"MSTY:20%, JEPQ:0%, SCHD:20%, SCHY:60%",40.1,22.7,19.7,8.4
"MSTY:20%, JEPQ:0%, SCHD:25%, SCHY:55%",39.4,22.1,19.6,8.5
"MSTY:20%, JEPQ:0%, SCHD:30%, SCHY:50%",38.8,21.5,19.5,8.6
"MSTY:20%, JEPQ:0%, SCHD:35%, SCHY:45%",38.2,20.9,19.5,8.7
"MSTY:20%, JEPQ:0%, SCHD:40%, SCHY:40%",37.6,20.2,19.5,8.8
"MSTY:20%, JEPQ:0%, SCHD:45%, SCHY:35%",36.9,19.6,19.5,9.0
"MSTY:20%, JEPQ:0%, SCHD:50%, SCHY:30%",36.3,19.0,19.6,9.1
"MSTY:20%, JEPQ:0%, SCHD:55%, SCHY:25%",35.7,18.4,19.7,9.2
"MSTY:20%, JEPQ:0%, SCHD:60%, SCHY:20%",35.1,17.7,19.8,9.3
"MSTY:20%, JEPQ:0%, SCHD:65%, SCHY:15%",34.4,17.1,19.9,9.4
"MSTY:20%, JEPQ:0%, SCHD:70%, SCHY:10%",33.8,16.5,20.0,9.5
"MSTY:20%, JEPQ:0%, SCHD:75%, SCHY:5%",33.2,15.9,20.2,9.6
"MSTY:20%, JEPQ:0%, SCHD:80%, SCHY:0%",32.6,15.2,20.4,9.7
"MSTY:20%, JEPQ:5%, SCHD:0%, SCHY:75%",42.1,24.8,20.0,7.9
"MSTY:20%, JEPQ:5%, SCHD:5%, SCHY:70%",41.5,24.2,19.8,8.0
"MSTY:20%, JEPQ:5%, SCHD:10%, SCHY:65%",40.9,23.6,19.7,8.2
"MSTY:20%, JEPQ:5%, SCHD:15%, SCHY:60%",40.3,22.9,19.6,8.3
"MSTY:20%, JEPQ:5%, SCHD:20%, SCHY:55%",39.6,22.3,19.5,8.4
"MSTY:20%, JEPQ:5%, SCHD:25%, SCHY:50%",39.0,21.7,19.5,8.5
"MSTY:20%, JEPQ:5%, SCHD:30%, SCHY:45%",38.4,21.1,19.4,8.6
"MSTY:20%, JEPQ:5%, SCHD:35%, SCHY:40%",37.8,20.4,19.4,8.7
"MSTY:20%, JEPQ:5%, SCHD:40%, SCHY:35%",37.1,19.8,19.4,8.8
"MSTY:20%, JEPQ:5%, SCHD:45%, SCHY:30%",36.5,19.2,19.5,8.9
